"Price","Bed","Bath","Area","HouseURL","Description","Type","Built","Lot"
"$122,900","2 bds","1 ba","857 sqft","https://www.zillow.com/homedetails/8-Hillside-Ct-Middletown-CT-06457/57865053_zpid/","COZY, CHARMING HOME! MAKE THIS HOME SHINE AGAIN WITH SOME TLC. FEATURING TWO BEDROOMS; A BONUS DEN; LIVING ROOM WITH NATURAL LIGHT STREAMING IN; FIRST FLOOR LAUNDRY ROOM; STAINLESS APPLIANCES; AND THERMOPANE WINDOWS. CORNER LEVEL LOT.  CONVENIENT LOCATION! CLOSE TO MAJOR HIGHWAYS AND SHOPS.   PROPERTY TO BE SOLD AS IS!  SUBJECT TO THIRD PARTY APPROVAL. SHORT SALE","SingleFamily","1810","3,484 sqft"
"$325,000","3 bds","3 ba","2,716 sqft","https://www.zillow.com/homedetails/16-Arnold-St-Middletown-CT-06457/57866252_zpid/","Town and Country Living! Located approximately 18 miles from Hartford this 3 bedroom 2 and a half bath newer construction colonial from 2009 boasts nearly 1,900 square feet of living space and will have you asking, ""how soon can I move in""? Open concept with 9' ceilings, hardwood floors and lovely finishes all around complete this homes grace. Furnished with stainless steel appliances and finished with granite counters the kitchen provides plenty of cabinets and counter space for all epicurean adventurers. Head on out to the deck for some backyard barbecues and nighttime lounging by the fire pit or enjoy your morning coffee taking in the sun from the comfort of your front porch. The rest of your journey will talk you to the top of the stairs where you'll find a second floor laundry room and separate bathroom which services 2 of the bedrooms. The Master bedroom gleams a walk-in closet, bathroom with double sinks and a marble vanity. Don't forget the massive unfinished walkout basement with high ceilings perfect for storage, a finished playroom, home office, entertainment space, etc. Finally downtown Middletown is situated along the banks of the Connecticut River and offers a wide range of activities. It's the perfect place to play, work, shop and be entertained. Easily accessible to I-91, Route 9 and the Merritt Parkway, Wesleyan University, Wadsworh Falls State Park, Kid City Children's Museum, and Van Vleck Observatory.","SingleFamily","2009","5,227 sqft"
"$349,900","4 bds","3 ba","2,475 sqft","https://www.zillow.com/homedetails/181-Oakcliff-Rd-Middletown-CT-06457/57867012_zpid/","Coming Soon. The gorgeous 4 bedroom brick colonial is move in ready. This large private home offers 4 large bedrooms with 3 on the second floor including a master suite complete with full bath including luxury shower including, steam, acupuncture, rainfall and Bluetooth so you can listen to your favorite music while relaxing in the jet tub. There is a fourth bedroom on the first floor and a full bath. The main floor offers a large living room with wood fireplace, plus a family room also with a fireplace. The large dining room is light and bright and ready for entertaining.  There is a large laundry room/mudroom on the main floor with plenty of storage place. The kitchen has plenty of counter space including a center island and a breakfast nook. Come make this your home today!  *** Additional South Fire Tax of  $1077.13 due annually not included in tax number. CLOSING TO BE SCHEDULED AFTER JULY 1st 2021","SingleFamily","1978","40,075 sqft"
"$184,500","1 bd","1 ba","1,258 sqft","https://www.zillow.com/homedetails/114-Crystal-Lake-Rd-Middletown-CT-06457/58853790_zpid/","Welcome to lake life living! Located on a dead-end street, with year-round waterfront views and a private dock. 2nd floor bedroom features high ceilings and a large deck through sliding doors, facing the lake! Updates include a new roof, new deck and a new oil tank .. as well as a finished basement, 2 living rooms-which could be converted into a 2nd bedroom (hardwood floors under all the carpeting)! Don't miss an opportunity to own this adorable Cape!","SingleFamily","1928","8,712 sqft"
"$319,000","3 bds","3 ba","1,736 sqft","https://www.zillow.com/homedetails/514-East-St-Middletown-CT-06457/200436052_zpid/","3br/3ba split level beautifully updated with large wrap around deck, solar heating and so much more. Coming to the Market Saturday, May 1.","SingleFamily","1979","20,037 sqft"
"$539,900","4 bds","4 ba","3,318 sqft","https://www.zillow.com/homedetails/295-Chauncey-Rd-Middletown-CT-06457/57870473_zpid/","ONE OF A KIND! A mason's masterpiece! A large, eat-in kitchen features granite counter tops, and a custom glass-faced island as a centerpiece. The open concept living room has large windows that allow plenty of natural light, to show off the beautiful marble fireplace! A big, formal dining room is ready for years of memories! On the main level, you'll find a bonus room, that's perfect for a sitting room, office, or workout room! A 24'x20' giant master bedroom, with its custom en suite, boasting a jet tub and tiled shower, sits on the main level near to the full-sized designated laundry room, complete with built in cabinets. Upstairs, you'll find three more bedrooms, including a second master bedroom-type, with its own updated en suite and cathedral gazebo ceiling, and PLENTY of closet space. The basement is extremely clean, with tall ceilings and is perfect for storage, or is ready to be finished! It also features a wine cellar, and reinforced 'hideaway' room. The front porch is wrap around, and is made from the finest stone. Out back, you'll feel like you are in Italy; the patio is custom made with marble, hand cut pillars, and gorgeous stone. A fully functional stone pizza oven, benches, and multiple manicured sitting areas are an entertainers dream! Attached 2 car garage and shed for extra storage. Sitting on 3 full acres in South Farms, this is truly a GEM! You will not see another home with this exact meticulous detail! Schedule your private showing today! Agent related.","SingleFamily","1999","130,680 sqft"
"$369,609","5 bds","4 ba","2,606 sqft","https://www.zillow.com/homedetails/234-Oak-Ridge-Dr-Middletown-CT-06457/57868708_zpid/","This property is perfect for the FHA buyer, house has appraised for close to $400.000. Bring your highest and best, owner is looking for over asking offers. Offers will be reviewed on Monday at noon.  Multi-generational living at it's best. Updated Kitchen with granite countertops and new appliances. Open floor concept which flows from the kitchen and dining room area towards the cozy living room ! There is a second living room with classical touches and a beautifully crafted fireplace. Home features five huge bedrooms and four updated bathrooms, this home has it all! Home is situated on three quarters of a acer. Don't waste any time and schedule your showing today! Please submit your highest and best offer.","SingleFamily","1964","29,185 sqft"
"$699,999","3 bds","5 ba","4,572 sqft","https://www.zillow.com/homedetails/96-Sachem-Dr-Middletown-CT-06457/69058738_zpid/","A custom built estate that will have visitors and guests in ""awe"" as they pull up. Located at the end of a quiet cul-da-sac, this stunning modern colonial is the home of your dreams. Built in 2006, this home has it all! A professionally designed kitchen with granite counters, stainless steel appliances, a double-sided gas fireplace, two geothermal systems for heating, over-sized multipurpose room made for entertaining and more. A large master bedroom with a spacious walk in closet and master bathroom suite. An attached three bay garage easily fitting 6 vehicles with radiant floors. 50 year architectural roof! What more could you ask for? An incredible chance to own a rare one of a kind property!","SingleFamily","2006","186,436 sqft"
"$99,609","3 bds","1 ba","1,209 sqft","https://www.zillow.com/homedetails/54-Braeburn-Ln-Middletown-CT-06457/57867862_zpid/","The wait is over, this is a deal you don't want to miss! This 3 bedrooms 1 bath home is in an appealing location close to many amenities, such as restaurants, running trails, gyms, easy highway access. Property is back on the market as of today, so don't hesitate because this one will go quickly! please bring qualified buyers only.","SingleFamily","1971","2,613 sqft"
"$359,900","3 bds","3 ba","1,580 sqft","https://www.zillow.com/homedetails/36-Nathan-Hale-Rd-Middletown-CT-06457/2076643671_zpid/","TO BE BUILT - New Construction To Start Spring 2021 - Pick Your Lot On This New Culdesac in Middletown CT Today. Many Plans Available. PHOTOS FROM PRIOR HOME BUILT.","SingleFamily","2021","7,840 sqft"
