"Price","Bed","Bath","Area","HouseURL","Description","Type","Built","Lot"
"$365,000","4 bds","3 ba","2,486 sqft","https://www.zillow.com/homedetails/99-Miller-Rd-Bethany-CT-06524/57885782_zpid/","4 bedroom colonial style home in lovely Bethany Connecticut! This spacious home offers room for everyone!!! The kitchen is open to a wonderful family room complete with vaulted ceilings and a woodstove giving you the perfect spot to entertain guests while prepping a meal. Adjacent to the kitchen you will be pleased to find a formal dining room just begging to host your next dinner party!!! The formal living room boasts a wood-burning fireplace and leads you through French doors to the perfect sunroom complete with an additional woodstove! Follow the hardwood staircase upstairs where you will find a master bedroom with a full bath, 3 additional bedrooms, and an additional full bath. All of this plus an attached 2 car garage, partially finished basement, and private 1.5-acre lot make this the perfect opportunity to move into a great community at an affordable price!!","SingleFamily","1966","66,211 sqft"
"$539,900","4 bds","3 ba","2,450 sqft","https://www.zillow.com/homedetails/21-Bachelor-Oak-Rd-Bethany-CT-06524/109730156_zpid/","To be built, 2450 sq ft Colonial, 4 bedroom 2.5 bath on 3.66 acres.  Current design is flexible to meet purchasers needs.  However, the minimum square footage must remain at above over 2400 sq ft.","SingleFamily","2021","159,429 sqft"
"$364,900","3 bds","2 ba","1,886 sqft","https://www.zillow.com/homedetails/664-Litchfield-Tpke-Bethany-CT-06524/57886673_zpid/","Immaculate 3 bedroom ranch located on a wonderful private 1.49 acre lot. This lovely home, with an open floor plan, offers many additional features which includes: a front open porch; 3 bedrooms, 1.5 baths plus a main level office/den; vaulted ceiling and a wood stove in the family room; gleaming hardwood floors; wood ceilings, central air-conditioning; an oversized Trex style deck; a two car attached garage and attached storage shed. Many recent updates include a new driveway, a newer hot water heater; newer central air compressor, new roof on a section of the house and interior painting.  Convenient access to downtown New Haven, Yale, Routes 8 and 15. Award winning school district!","SingleFamily","1961","64,904 sqft"
"$1,050,000","-- bds","-- ba","2,317 sqft","https://www.zillow.com/homedetails/84-Bethway-Rd-Bethany-CT-06524/240571966_zpid/","This commercial kennel business is an established turnkey operation with a long-term client base.  For the last 32 years Bethway Kennels and Stables, Inc. has been home to boarding care for dogs and cats in the Greater New Haven Area. The boarding kennel can accommodate up to 40+ cats and dogs. The kennel provides full service grooming and a kennel with attached dog runs. The kennel has a spacious waiting room for clients to meet and discuss your pets requirements. Also included in this 7+acre property is a Cape Cod style home, and 4-stall horse stable. The horse stable has wide stalls, enclosed tack room & storage, that includes iron fencing to configure horse paddocks.    Included in the sale of the business is a 2 bedroom and 2 bath cape situated on top of a knoll where from the front porch you will enjoy sweeping vistas. The home has been lovingly restored throughout the years.  An open eat-in kitchen has granite countertops & stainless steel appliances. Additionally, on the main level is the living room with fireplace, a family room with office and an attached garage. Upstairs are two dormered bedrooms and renovated bathroom with shower.  This bucolic equestrian property has beautiful east and southern views and adjacent to nearby horse and hiking trails. This is a perfect setting combining a business opportunity, country living and a love for animals.","Unknown","1947","Lot size: 7 Acres Lot features: Farm, Some Wetlands, Sloped, Highway Access, Suburban, Rural"
